n00001740 n00021939
n00021939 n03051540
n03051540 dummy32
dummy32 n03419014
n03419014 n04230808
n04230808 n03534580
n04230808 n03770439
n04230808 n03866082
n04230808 n04136333
n03419014 n04489008
n04489008 n03594734
n03419014 n04508163
n04508163 n02892767
n04508163 n03188531
n03419014 n04197391
n04197391 n03595614
n03419014 n04370048
n04370048 n02963159
n04370048 n04021028
n04021028 n04370456
n03419014 n04371563
n04371563 n02837789
n04371563 n03710721
n04371563 n04371430
n03419014 n03236735
n03236735 n03450230
n03419014 n03825080
n03825080 n03877472
n03419014 n02730930
n03419014 n04350905
n03419014 n03763968
n03419014 n03057021
n03057021 n03404251
n03057021 n03630383
n03057021 n04049405
n04049405 n04479046
n03057021 n02669723
n03057021 n04532106
n03057021 n03980874
n03057021 n03045698
n03057021 n02667093
n03057021 n03617480
n03051540 n02671780
n02671780 dummy34
dummy34 n03314378
n03314378 n04229816
n03314378 n03724870
n03314378 n03424325
dummy34 n04272054
n04272054 n04356056
n02671780 dummy35
dummy35 n02862048
n02862048 n02916936
n02862048 n03000247
n02862048 n03146219
n02862048 n02895154
n02671780 n03816005
n03816005 n03815615
n03815615 n02865351
n03815615 n02883205
n03815615 n04591157
n03816005 n04143897
n04143897 n03325584
n04143897 n04325704
n03816005 n03597469
n03597469 n03814906
n03816005 n02834397
n03816005 n02887209
n02887209 n03814639
n02671780 n03381126
n03381126 n03623198
n03381126 n04254777
n03381126 n04323819
n04323819 n03026506
n03381126 n04434932
n04434932 n03710637
n03381126 n03047690
n03381126 n04199027
n04199027 n03680355
n04199027 n04120489
n04199027 n04133789
n03381126 n02872752
n02872752 n03124043
n02671780 n03502509
n03502509 n03513137
n03513137 n03127747
n03513137 n03379051
n03513137 n03929855
n03502509 n03497657
n03497657 n02817516
n03497657 n02869837
n03497657 n03124170
n03497657 n04259630
n03502509 n02954340
n02954340 n02807133
n02954340 n03787032
n02954340 n04209133
n03502509 n03476083
n03476083 n04584207
n03502509 n03043958
n03043958 n03476684
n02671780 dummy39
dummy39 n04187061
n04187061 n03527444
n04187061 n04141327
n02671780 dummy50
dummy50 n03485794
n02671780 dummy51
dummy51 n03141823
n02671780 dummy52
dummy52 n02773037
n02773037 n02769748
n02773037 n03709823
n02773037 n03958227
n02773037 n04026417
n02671780 dummy53
dummy53 n02910353
n02671780 dummy57
dummy57 n04507155
n02671780 n03490324
n03490324 n03441112
n03441112 n03775071
n03051540 n04447443
n04447443 n03113152
n03113152 n03714235
n03714235 n03314780
n03714235 n03676483
n03113152 n03128519
n03128519 n04357314
n03128519 n03690938
n03113152 n03916031
n03113152 n03476991
n04447443 n02785648
n02785648 n02680110
n02680110 n02786058
n00021939 n03100490
n03100490 n04576211
n04576211 n03791235
n03791235 n02958343
n02958343 n02701002
n02958343 n02814533
n02958343 n02930766
n02958343 n03100240
n02958343 n03594945
n02958343 n03670208
n02958343 n03770679
n02958343 n03777568
n02958343 n04037443
n02958343 n04285008
n02958343 n03444034
n02958343 n03445924
n02958343 n03977966
n03791235 n04490091
n04490091 n03345487
n04490091 n03417042
n04490091 n03930630
n04490091 n04461696
n04490091 n04467665
n04490091 n04465501
n04490091 n04252225
n04490091 n03796401
n04490091 n03384352
n03791235 n03790512
n03790512 n03769722
n03769722 n03785016
n03790512 n03791053
n03791235 n02924116
n02924116 n03769881
n02924116 n04146614
n02924116 n04487081
n02924116 n04065272
n04576211 n04464852
n04464852 n03478589
n04464852 n04252077
n04464852 n04389033
n04464852 n02704792
n04576211 n04468005
n04468005 n03896233
n03896233 n02917067
n04468005 n03684823
n03684823 n03272562
n03684823 n04310018
n04468005 n04335435
n04468005 n02959942
n02959942 n03393912
n02959942 n03895866
n04576211 n02970849
n02970849 n03538406
n02970849 n03599486
n02970849 n03868242
n02970849 n03484083
n03484083 n02797295
n03484083 n04204347
n04576211 dummy30
dummy30 n02834778
n02834778 n02835271
n02834778 n03792782
dummy30 n04482393
dummy30 n04509417
n03100490 n03125870
n03125870 n04264914
n04264914 n04266014
n03125870 n02686568
n02686568 n04552348
n02686568 n02691156
n02691156 n02690373
n02686568 n02692877
n02686568 n02782093
n03125870 n04530566
n04530566 n02858304
n02858304 n03344393
n02858304 n03447447
n02858304 n04128499
n04128499 n02981792
n04128499 n04483307
n02858304 n03662601
n02858304 n04273569
n02858304 n02951358
n02858304 n04612504
n04530566 n04194289
n04194289 n03947888
n04194289 n04606251
n04194289 n02965300
n02965300 n03095699
n04194289 n04552696
n04552696 n02687172
