n00001740	entity
n00021939	non-living thing
n03051540	apparel, toiletries
dummy32	garment
n03419014	garment
n04230808	skirt
n03534580	hoopskirt, crinoline
n03770439	miniskirt, mini
n03866082	overskirt
n04136333	sarong
n04489008	trouser, pant
n03594734	jean, blue jean, denim
n04508163	undergarment, unmentionable
n02892767	brassiere, bra, bandeau
n03188531	diaper, nappy, napkin
n04197391	shirt
n03595614	jersey, T-shirt, tee shirt
n04370048	sweater, jumper
n02963159	cardigan
n04021028	pullover, slipover
n04370456	sweatshirt
n04371563	swimsuit, swimwear, bathing suit, swimming costume, bathing costume
n02837789	bikini, two-piece
n03710721	maillot, tank suit
n04371430	swimming trunks, bathing trunks
n03236735	dress, frock
n03450230	gown
n03825080	nightwear, sleepwear, nightclothes
n03877472	pajama, pyjama, pj's, jammies
n02730930	apron
n04350905	suit, suit of clothes
n03763968	military uniform
n03057021	coat
n03404251	fur coat
n03630383	lab coat, laboratory coat
n04049405	raincoat, waterproof
n04479046	trench coat
n02669723	academic gown, academic robe, judge's robe
n04532106	vestment
n03980874	poncho
n03045698	cloak
n02667093	abaya
n03617480	kimono
n02671780	accessory, accoutrement, accouterment
dummy34	facial accessories
n03314378	face mask
n04229816	ski mask
n03724870	mask
n03424325	gasmask, respirator, gas helmet
n04272054	spectacles, specs, eyeglasses, glasses
n04356056	sunglasses, dark glasses, shades
dummy35	armor
n02862048	body armor, body armour, suit of armor, suit of armour, coat of mail, cataphract
n02916936	bulletproof vest
n03000247	chain mail, ring mail, mail, chain armor, chain armour, ring armor, ring armour
n03146219	cuirass
n02895154	breastplate, aegis, egis
n03816005	neckwear
n03815615	necktie, tie
n02865351	bolo tie, bolo, bola tie, bola
n02883205	bow tie, bow-tie, bowtie
n04591157	Windsor tie
n04143897	scarf
n03325584	feather boa, boa
n04325704	stole
n03597469	jewelry, jewellery
n03814906	necklace
n02834397	bib
n02887209	brace
n03814639	neck brace
n03381126	footwear, legwear
n03623198	knee pad
n04254777	sock
n04323819	stocking
n03026506	Christmas stocking
n04434932	tights, leotards
n03710637	maillot
n03047690	clog, geta, patten, sabot
n04199027	shoe
n03680355	Loafer
n04120489	running shoe
n04133789	sandal
n02872752	boot
n03124043	cowboy boot
n03502509	headdress, headgear
n03513137	helmet
n03127747	crash helmet
n03379051	football helmet
n03929855	pickelhaube
n03497657	hat, chapeau, lid
n02817516	bearskin, busby, shako
n02869837	bonnet, poke bonnet
n03124170	cowboy hat, ten-gallon hat
n04259630	sombrero
n02954340	cap
n02807133	bathing cap, swimming cap
n03787032	mortarboard
n04209133	shower cap
n03476083	hairpiece, false hair, postiche
n04584207	wig
n03043958	clip
n03476684	hair slide
dummy39	dummy39
n04187061	sheath
n03527444	holster
n04141327	scabbard
dummy50	dummy50
n03485794	handkerchief, hankie, hanky, hankey
dummy51	dummy51
n03141823	crutch
dummy52	bag
n02773037	bag
n02769748	backpack, back pack, knapsack, packsack, rucksack, haversack
n03709823	mailbag, postbag
n03958227	plastic bag
n04026417	purse
dummy53	dummy53
n02910353	buckle
dummy57	dummy57
n04507155	umbrella
n03490324	handwear, hand wear
n03441112	glove
n03775071	mitten
n04447443	toiletry, toilet articles
n03113152	cosmetic
n03714235	makeup, make-up, war paint
n03314780	face powder
n03676483	lipstick, lip rouge
n03128519	cream, ointment, emollient
n04357314	sunscreen, sunblock, sun blocker
n03690938	lotion
n03916031	perfume, essence
n03476991	hair spray
n02785648	bandage, patch
n02680110	adhesive bandage
n02786058	Band Aid
n03100490	conveyance, transport
n04576211	wheeled vehicle
n03791235	motor vehicle, automotive vehicle
n02958343	car, auto, automobile, machine, motorcar
n02701002	ambulance
n02814533	beach wagon, station wagon, wagon, estate car, beach waggon, station waggon, waggon
n02930766	cab, hack, taxi, taxicab
n03100240	convertible
n03594945	jeep, landrover
n03670208	limousine, limo
n03770679	minivan
n03777568	Model T
n04037443	racer, race car, racing car
n04285008	sports car, sport car
n03444034	go-kart
n03445924	golfcart, golf cart
n03977966	police van, police wagon, paddy wagon, patrol wagon, wagon, black Maria
n04490091	truck, motortruck
n03345487	fire engine, fire truck
n03417042	garbage truck, dustcart
n03930630	pickup, pickup truck
n04461696	tow truck, tow car, wrecker
n04467665	trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi
n04465501	tractor
n04252225	snowplow, snowplough
n03796401	moving van
n03384352	forklift
n03790512	motorcycle, bike
n03769722	minibike, motorbike
n03785016	moped
n03791053	motor scooter, scooter
n02924116	bus, autobus, coach, charabanc, double-decker, jitney, motorbus, motorcoach, omnibus, passenger vehicle
n03769881	minibus
n04146614	school bus
n04487081	trolleybus, trolley coach, trackless trolley
n04065272	recreational vehicle, RV, R.V.
n04464852	tracked vehicle
n03478589	half track
n04252077	snowmobile
n04389033	tank, army tank, armored combat vehicle, armoured combat vehicle
n02704792	amphibian, amphibious vehicle
n04468005	train, railroad train
n03896233	passenger train
n02917067	bullet train, bullet
n03684823	locomotive, engine, locomotive engine, railway locomotive
n03272562	electric locomotive
n04310018	steam locomotive
n04335435	streetcar, tram, tramcar, trolley, trolley car
n02959942	car, railcar, railway car, railroad car
n03393912	freight car
n03895866	passenger car, coach, carriage
n02970849	cart
n03538406	horse cart, horse-cart
n03599486	jinrikisha, ricksha, rickshaw
n03868242	oxcart
n03484083	handcart, pushcart, cart, go-cart
n02797295	barrow, garden cart, lawn cart, wheelbarrow
n04204347	shopping cart
dummy30	cycles
n02834778	bicycle, bike, wheel, cycle
n02835271	bicycle-built-for-two, tandem bicycle, tandem
n03792782	mountain bike, all-terrain bike, off-roader
n04482393	tricycle, trike, velocipede
n04509417	unicycle, monocycle
n03125870	craft
n04264914	spacecraft, ballistic capsule, space vehicle
n04266014	space shuttle
n02686568	aircraft
n04552348	warplane, military plane
n02691156	airplane, aeroplane, plane
n02690373	airliner
n02692877	airship, dirigible
n02782093	balloon
n04530566	vessel, watercraft
n02858304	boat
n03344393	fireboat
n03447447	gondola
n04128499	sailboat, sailing boat
n02981792	catamaran
n04483307	trimaran
n03662601	lifeboat
n04273569	speedboat
n02951358	canoe
n04612504	yawl
n04194289	ship
n03947888	pirate, pirate ship
n04606251	wreck
n02965300	cargo ship, cargo vessel
n03095699	container ship, containership, container vessel
n04552696	warship, war vessel, combat ship
n02687172	aircraft carrier, carrier, flattop, attack aircraft carrier
n03896103	passenger ship
n03673027	liner, ocean liner
n04147183	schooner
n04347754	submarine, pigboat, sub, U-boat
dummy54	sled, sledge, sleigh
n04235291	sled, sledge, sleigh
n02860847	bobsled, bobsleigh, bob
n03218198	dogsled, dog sled, dog sleigh
n03405265	furnishing
n03405725	furniture, piece of furniture, article of furniture
n04379243	table
n03179701	desk
n03982430	pool table, billiard table, snooker table
n03201208	dining table, board
n04549122	wall unit
n03290653	entertainment center
n02870880	bookcase
n04550184	wardrobe, closet, press
n02933112	cabinet
n03018349	china cabinet, china closet
n03742115	medicine chest, medicine cabinet
n03337140	file, file cabinet, filing cabinet
n03015254	chest of drawers, chest, bureau, dresser
n03016953	chiffonier, commode
n04161981	seat
n04447861	toilet seat
n03001627	chair
n02791124	barber chair
n03376595	folding chair
n04099969	rocking chair, rocker
n03002210	chair of state
n04429376	throne
n04256520	sofa, couch, lounge
n03100346	convertible, sofa bed
n04344873	studio couch, day bed
n02828884	bench
n03891251	park bench
n02821943	bedroom furniture
n02818832	bed
n03388549	four-poster
n02766320	baby bed, baby's bed
n02804414	bassinet
n03125729	cradle
n03131574	crib, cot
n04151581	screen
n03347037	fire screen, fireguard
n03788365	mosquito net
n04589890	window screen
n04201297	shoji
n04590129	window shade
dummy79	dummy79
n03014705	chest
n03221720	door
n04239074	sliding door
dummy38	soft furnishings, accessories
n03873064	padding, cushioning
n03151500	cushion
n03938244	pillow
n03366823	floor cover, floor covering
n04118021	rug, carpet, carpeting
n03998194	prayer rug, prayer mat
n03727837	mat
n03223299	doormat, welcome mat
n02820210	bedclothes, bed clothing, bedding
n04033995	quilt, comforter, comfort, puff
n03636649	lamp
n04380533	table lamp
n03637318	lampshade, lamp shade
n03932670	piece of cloth, piece of material
n03207743	dishrag, dishcloth
n04459362	towel
n02808304	bath towel
n03887697	paper towel
dummy56	dummy56
n03151077	curtain, drape, drapery, mantle, pall
n04209239	shower curtain
n04418357	theater curtain, theatre curtain
n00021265	food, nutrient
n07570720	cooked food, prepared food
n07622061	baked goods
n07680932	bun, roll
n07693725	bagel, beigel
n07681926	cracker
n07695742	pretzel
n07683786	loaf of bread, loaf
n07684084	French loaf
n07557434	dish
n07871810	meat loaf, meatloaf
n07873807	pizza, pizza pie
n07875152	potpie
n07880968	burrito
n07583197	soup
n07584110	consomme
n07588947	stew
n07590611	hot pot, hotpot
n07710616	potato, white potato, Irish potato, murphy, spud, tater
n07711569	mashed potato
n07695965	sandwich
n07697537	hotdog, hot dog, red hot
n07697100	hamburger, beefburger, burger
n07697313	cheeseburger
n07609840	dessert, sweet, afters
n07611358	frozen dessert
n07614500	ice cream, icecream
n07615774	ice lolly, lolly, lollipop, popsicle
n07612996	pudding, pud
n07613480	trifle
n07810907	condiment
n07829412	sauce
n07836838	chocolate sauce, chocolate syrup
n07838233	spaghetti sauce, pasta sauce
n07831146	carbonara
n07582609	dip
n07583066	guacamole
n07705711	produce, green goods, green groceries, garden truck
n07707451	vegetable, veggie, veg
n07718472	cucumber, cuke
n07718747	artichoke, globe artichoke
n07730033	cardoon
n07734744	mushroom
n07715561	squash
n07717070	winter squash
n07717410	acorn squash
n07717556	butternut squash
n07715721	summer squash
n07716358	zucchini, courgette
n07716906	spaghetti squash
n07720442	pepper
n07720615	sweet pepper
n07720875	bell pepper
n07714990	broccoli
n07715103	cauliflower
n07713895	cabbage, chou
n07714571	head cabbage
n13134947	fruit
n12267677	acorn
n12620546	hip, rose hip, rosehip
n13133613	ear, spike, capitulum
n07753113	fig
n07753275	pineapple, ananas
n07753592	banana
n07754684	jackfruit, jak, jack
n07760859	custard apple
n07768694	pomegranate
n07739125	apple
n07739506	eating apple, dessert apple
n07742313	Granny Smith
n07745940	strawberry
n07747607	orange
n07749582	lemon
n12768682	buckeye, horse chestnut, conker
n11879895	rapeseed
n12144580	corn
n07881800	beverage, drink, drinkable, potable
n07929519	coffee, java
n07920052	espresso
n07884567	alcohol, alcoholic drink, alcoholic beverage, intoxicant, inebriant
n07891726	wine, vino
n07892512	red wine
n07930554	punch
n07930864	cup
n07932039	eggnog
dummy44	structure, place
n04341686	man-made structure, construction
n02913152	building, edifice
n03953416	place of worship, house of prayer, house of God, house of worship
n03028079	church, church building
n03788195	mosque
n04210390	shrine
n04346328	stupa, tope
n04417809	theater, theatre, house
n03032252	cinema, movie theater, movie theatre, movie house, picture palace
n03859280	outbuilding
n04187547	shed
n02727426	apiary, bee house
n02859443	boathouse
n02793495	barn
n03457902	greenhouse, nursery, glasshouse
n03316406	factory, mill, manufacturing plant, manufactory
n03697007	lumbermill, sawmill
n03748162	mercantile establishment, retail store, sales outlet, outlet
n03461385	grocery store, grocery, food market, market
n02776631	bakery, bakeshop, bakehouse
n02791270	barbershop
n02871525	bookshop, bookstore, bookstall
n02927161	butcher shop, meat market
n03089624	confectionery, confectionary, candy store
n04200800	shoe shop, shoe-shop, shoe store
n04443257	tobacco shop, tobacconist shop, tobacconist
n04462240	toyshop
dummy45	dummy45
n03661043	library
dummy46	dummy46
n03956157	planetarium
dummy47	dummy47
n04005630	prison, prison house
dummy49	dummy49
n04081281	restaurant, eating house, eating place, eatery
n04460130	tower
n02814860	beacon, lighthouse, beacon light, pharos
n03259505	dwelling, home, domicile, abode, habitation, dwelling house
n03042490	cliff dwelling
